User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Oleksandr Z,@zov911,2024-05-08T15:18:00.000Z,"Oleksandr Z
@zov911
·
May 8Revolutionize your structural design process with ForteWEB™! Join webinar with 
@Weyerhaeuser
 experts on May 22 at 6 pm to learn how this tool can optimize your projects. Sign up today! https://1zr.in/PqN

#ForteWEB #StructuralDesign #Webinar",,,
Jiri Vorel,@jirivorel,2024-05-04T18:27:32.000Z,"Jiri Vorel
@jirivorel
·
May 4@Weyerhaeuser
 @waDNR
 @IssaquahAlps
 @greenway
not like this, please",1,,
B for Bull,@brawlstarguru,2024-05-04T03:41:03.000Z,"B for Bull
@brawlstarguru
·
May 4Replying to 
@Rajnandini38629
 @PineChemicalAsc
 and 3 others",,,
Louisiana Delta CC,@LADeltaCC,2024-05-03T14:16:46.000Z,"Louisiana Delta CC
@LADeltaCC
·
May 3Weyerhaeuser Lumber in Dodson, LA: Welcome to our industry representative roll call for LDCC Jonesboro's Manufacturing Night! This miniseries will showcase all of the industry partners present at last night's Manufacturing Night event. Thank you, 
@Weyerhaeuser
, for coming out to…
Show more",,,1
Stephen Bot,@sbot5,2024-04-29T23:48:29.000Z,"Stephen Bot
@sbot5
·
Apr 30Replying to 
@stopthespraybc
 and 
@Weyerhaeuser",,,
StopthesprayBC,@stopthespraybc,2024-04-29T15:47:34.000Z,"StopthesprayBC
@stopthespraybc
·
Apr 29Happening today in Rocky Mountain House.  Public meeting about 
@Weyerhaeuser
 aerial spraying forests with #tricoplyr. 

Banning glyphosate is not enough.  They will just start doing other insane things. 

Tricoplyr is in the pyridine family of herbicides, is persistent, and is…
Show more",1,6,10
VYPE Oklahoma,@VYPEOK,2024-04-25T14:57:01.000Z,"VYPE Oklahoma
@VYPEOK
·
Apr 25Idabel’s Victor Jefferson – Cross Country Spotlight – Presented by 
@Weyerhaeuser
https://idabelathletics.org/2024/04/25/idabels-victor-jefferson-cross-country-spotlight-presented-by-weyerhaeuser/… #okpreps",,,
NCForestryAssociation,@NCForestryAssoc,2024-04-12T15:00:28.000Z,"NCForestryAssociation
@NCForestryAssoc
·
Apr 12What is sustainable forestry? Join Cierra Ward, Resource Management Service, Andrea Casallas, former NCFA intern, and Amy Phillips, 
@Weyerhaeuser
, to learn more. #ncforestry #sustainableforestry https://app.socialpilot.co/site/video/Y3e1WO1g2NdT0W5NOGQrqoiDE4wk0k6OpajWOg0XExkPHEw5d63GEAQakkPQlAPWDv…",,,
Eskuad,@Eskuadcom,2024-04-04T21:02:23.000Z,"Eskuad
@Eskuadcom
·
Apr 4We enjoyed meeting everyone at the NESAF Annual Meeting this year. 

We attended alongside 
@Weyerhaeuser
, 
@FSMaine
, 
@NEForestry
, 
@VTLandTrust
, and more companies.

We are looking forward to attending more events with 
@foresters
!",,,
LBM Journal,@LBMJournal,2024-04-01T20:46:47.000Z,"LBM Journal
@LBMJournal
·
Apr 1Here are five tips on how TruWood Siding, distributed by Weyerhaeuser, can assist you in helping customers find the perfect siding. 
@Weyerhaeuser",,,
rohan patil,@rohanpatil828,2024-03-28T16:13:55.000Z,"rohan patil
@rohanpatil828
·
Mar 28Replying to 
@SwatiLavate11
 @Interna90434642
 and 2 others",,,
Eskuad,@Eskuadcom,2024-03-27T19:13:28.000Z,"Eskuad
@Eskuadcom
·
Mar 27Tuning in from the 
@foresters
 annual meeting in Burlington, Vermont! 

We’ve enjoyed meeting everyone at our poster session. We’re joined alongside companies like 
@Weyerhaeuser
, 
@FSMaine
, and 
@NEForestry
. 

If you are here today, come see us and ask for a demo of Eskuad.",,,1
Enterprise Connect,@enterprisecon,2024-03-27T12:30:04.000Z,"Enterprise Connect
@enterprisecon
·
Mar 27We have some incredible post-session networking opportunities at #EnterpriseConnect this morning starting at 8:45 AM. Engage 1-1 with speakers and fellow attendees, discuss session highlights, share stories, and forge connections. 
@Weyerhaeuser
 @usbank
  #Networking",,,
