User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
mycose aliagas,@jattends_pas,2024-05-09T22:15:47.000Z,"mycose aliagas
@jattends_pas
·
12hReplying to 
@wickedkissy",,,
Canal JH,@jh_canal,2024-05-09T21:00:12.000Z,"Canal JH
@jh_canal
·
13hJohnny Hallyday - La musique que j’aime (avec Nikos Aliagas) https://canaljh.com/la-musique-que-jaime-avec-nikos-aliagas/?utm_source=twitter&utm_medium=social&utm_campaign=ReviveOldPost… #Johnny #Hallyday #JohnnyHallyday",,1,5
𝔼𝕤𝕡𝕣𝕚𝕥Cરίτίκ,@CriTikEsprit,2024-05-09T19:20:34.000Z,"𝔼𝕤𝕡𝕣𝕚𝕥Cરίτίκ
@CriTikEsprit
·
15hEn 2004, de mémoire, on a eu Brahim Asloum, marie Jo perc,  Douillet, Michel Druker , Nikos Aliagas, Galthié, Debbouze, Jackson Richardson etc. mais vous avez raison, soyons heureux,  on a faillit avoir Baptiste t'es pas net cette année... c'est passé a un poil de cul de mineure.",,,
EpiqueTête,@EpiqueTete,2024-05-09T19:00:20.000Z,"EpiqueTête
@EpiqueTete
·
15hReplying to 
@julienbahloul",,,
Ángel González,@angelgon2019,2024-05-09T18:54:21.000Z,"Ángel González
@angelgon2019
·
15hCaminando entre Biescas y Oros Bajo, en Huesca. Oigo cantar ruiseñores, mirlos y currucas. Veo buitres y algún milano. Me acompañan los amarillos chillones de las flores de las aliagas. Verdes de los robles y pinos. Blanco curioso y altivo de las nieves pirenaicas. Un día genial",,,1
Alfredo Ruiz,@Alfredoruizb,2024-05-09T18:42:15.000Z,"Alfredo Ruiz
@Alfredoruizb
·
16hReplying to 
@seanmamo_11tw",,,1
Bellingham Herald,@BhamHerald,2024-05-09T18:20:09.000Z,"Bellingham Herald
@BhamHerald
·
16hAltaGas outlines economic potential of ‘green’ hydrogen plant at former Intalco site",,,
mycose aliagas,@jattends_pas,2024-05-09T18:00:06.000Z,"mycose aliagas
@jattends_pas
·
16hles hommes moches pourquoi vous venez faire CHIER restez entre MOCHES laissez nous en paix par pitié",,1,4
Nikos Aliagas,@nikosaliagas,2024-05-09T17:35:16.000Z,"Nikos Aliagas
@nikosaliagas
·
17hEt la flamme olympique entrait dans le vieux port à bord du Belem... #marseille #paris2024 #flickr",2,18,148
Votre Caissière Préférée,@LaGrinchette,2024-05-09T16:49:55.000Z,"Votre Caissière Préférée
@LaGrinchette
·
17hReplying to 
@LudovicJ64",,,8
Alfredo Richard 74,@AlfredoRic22789,2024-05-09T14:19:23.000Z,"Alfredo Richard 74
@AlfredoRic22789
·
20hReplying to 
@RicardoCuello23",,,
Lucía Aliagas,@lurssia,2024-05-09T12:35:14.000Z,"Lucía Aliagas
@lurssia
·
22hDiferents veus de les estudiants acampades a universitats de tot l'Estat en solidaritat amb Palestina.

 Que Palestina sigui el seu nou Vietnam. La solidaritat internacionalista no s'atura davant el genocidi que està patint el poble palestí. No mirarem cap un altre costat.",,3,7
Bellingham Herald,@BhamHerald,2024-05-09T12:10:10.000Z,"Bellingham Herald
@BhamHerald
·
22hAltaGas outlines economic potential of ‘green’ hydrogen plant at former Intalco site",,,
Le Cloërec,@DidierCloerec,2024-05-09T10:48:17.000Z,"Le Cloërec
@DidierCloerec
·
23hReplying to 
@ThFerrier",,,1
Alex,@AlexTheCasu,2024-05-09T08:50:26.000Z,"Alex
@AlexTheCasu
·
May 9Replying to 
@EricLeRouge2000
 and 
@landofhop",1,,2
Nikos Aliagas,@nikosaliagas,2024-05-08T23:33:48.000Z,"Nikos Aliagas
@nikosaliagas
·
May 9Marseille magique ce 8 mai 2024 
@paris2024
 @TF1",15,48,548
Nikos Aliagas,@nikosaliagas,2024-05-08T22:45:37.000Z,"Nikos Aliagas
@nikosaliagas
·
May 9https://tf1.fr/player/41e077fe-ac55-477f-8271-06192e8adad9…  #tf1 
@tf1
 @Paris2024
 #marseille",1,4,19
Nikos Aliagas,@nikosaliagas,2024-05-08T22:22:35.000Z,"Nikos Aliagas
@nikosaliagas
·
May 9Replying to 
@HarocheClaire",,,3
Guerrier Sans Nom,@Kaveen_52,2024-05-08T22:05:17.000Z,"Guerrier Sans Nom
@Kaveen_52
·
May 9Replying to 
@Catcfls",,,
Lartigue Jean,@lartigue_j96687,2024-05-08T21:58:08.000Z,"Lartigue Jean
@lartigue_j96687
·
May 8Replying to 
@AnakinVador3",,,
Nikos Aliagas,@nikosaliagas,2024-05-08T19:12:53.000Z,"Nikos Aliagas
@nikosaliagas
·
May 8Οι εορτασμοί για την Εξοδο του Μεσολογγίου, με τη ματιά του Νίκου Αλιάγα",,4,25
Lucía Aliagas,@lurssia,2024-05-08T19:09:13.000Z,"Lucía Aliagas
@lurssia
·
May 8Replying to 
@cuartodemarzo",1,,2
Lucía Aliagas,@lurssia,2024-05-08T18:25:46.000Z,"Lucía Aliagas
@lurssia
·
May 8Replying to 
@cuartodemarzo",1,,2
Enerchem,@Enerchems,2024-05-08T15:00:02.000Z,"Enerchem
@Enerchems
·
May 8Revolutionize Fracking Operations with the Safest and Most Sustainable Fluid.

Get more information here - https://boereport.com/2024/04/17/revolutionizing-fracking-operations-the-emergence-of-fracsol/…

#canadianenergy #drilling #oil #gas #Enerchem #altagas #drilling #CustomersFirst #BOE #BOEReport",,1,1
Nikos Aliagas,@nikosaliagas,2024-05-07T22:52:36.000Z,"Nikos Aliagas
@nikosaliagas
·
May 8Οι εορτασμοί για την Εξοδο του Μεσολογγίου, με τη ματιά του Νίκου Αλιάγα | Η ΚΑΘΗΜΕΡΙΝΗ ⁦
@Kathimerini_gr
⁩",3,22,75
Ryan Kineshanko,@ShankoAB,2024-05-07T18:59:59.000Z,"Ryan Kineshanko
@ShankoAB
·
May 7Replying to 
@llpoole",,,
Vancouver Island Guy,@VanIsleInvestor,2024-05-07T18:57:42.000Z,"Vancouver Island Guy
@VanIsleInvestor
·
May 7$ALA AltaGas - Exercise of options and Sale of 51,900 shares for approx. $1.58 million",,,2
