User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Susan Brunner,@spbrunner,2024-03-27T20:52:59.000Z,"Susan Brunner
@spbrunner
·
Mar 27AltaGas Ltd (TSX-ALA, OTC-ATGFF) #stock $ALA.CA $ATGFF Dividend Growth Utility. https://spbrunner.blogspot.com/2024/03/altagas-ltd.html… https://spbrunner.com/stocks/ala.htm",,,2
"Music Licensing, Inc. (OTC: SONG)",@OTC_SONG,2024-03-12T03:39:10.000Z,"Music Licensing, Inc. (OTC: SONG)
@OTC_SONG
·
Mar 12
Automated$TSLA  $SPY $SONG  AltaGas Ltd. Issues $600 Million in Notes and Dividend https://blog.tipranks.com/altagas-ltd-issues-600-million-in-notes-and-dividend/?utm_source=dlvr.it&utm_medium=twitter… $QQQ $AAPL $BTC",,,
Crwe World,@CrweWorld,2024-03-12T08:55:07.000Z,"Crwe World
@CrweWorld
·
Mar 12ALTAGAS LTD. ANNOUNCES AGGREGATE $600 MILLION MEDIUM TERM NOTE OFFERINGS   $ALA.CA, #AltaGas",,,
Dougald Lamont,@DougaldLamont,2024-03-21T19:38:05.000Z,"Dougald Lamont
@DougaldLamont
·
Mar 21Can Marty Morantz answer how much he might expect to personally benefit from changes to the carbon levy, since his conflict of interest disclosure shows he owns stocks in : 

- Altagas Ltd., 
- Cenovus Energy Inc., 
- Chevron Corporation, 
- Conoco Phillips and 
- Suncor Energy…
Show more",29,67,209
NAI500,@NAI500,2024-03-07T22:30:13.000Z,"NAI500
@NAI500
·
Mar 7[ #加拿大 央行维持利率不变，这对多交所 #公用事业 股票来说是一个好消息]

Fortis Inc. $CA
AltaGas Ltd $ALA

深入了解：https://ow.ly/WHYw50QNN8k

#utilities #naturalgas",,,
EnergyNews.biz,@EnergyNews_Biz,2024-01-30T01:00:08.000Z,"EnergyNews.biz
@EnergyNews_Biz
·
Jan 30 FOLLOW 
@energynews
.biz 

-  AltaGas Ltd. plans to repurpose the closed #Alcoa #smelter in Ferndale, Washington, into a #greenhydrogen production facility, leveraging #renewableenergy for electrolysis.",,,3
EnergyNews.biz,@EnergyNews_Biz,2024-01-29T09:01:04.000Z,"EnergyNews.biz
@EnergyNews_Biz
·
Jan 29 FOLLOW 
@energynews
.biz 

-  AltaGas Ltd. plans to repurpose the closed #Alcoa #smelter in Ferndale, Washington, into a #greenhydrogen production facility, leveraging #renewableenergy for electrolysis.",,1,1
Canadian Riley,@TiaRileyCanada,2024-01-14T07:37:48.000Z,"Canadian Riley
@TiaRileyCanada
·
Jan 14Replying to 
@TiaRileyCanada
 @chimpo_j
 and 
@andrew_leach",1,,1
Tyr MacAirt,@Tyr_MacAirt,2024-01-14T05:48:01.000Z,"Tyr MacAirt
@Tyr_MacAirt
·
Jan 14Replying to 
@Natluvscamping
 and 
@KirkLubimov",2,,1
TGB Chamber,@TGBChamber,2024-01-11T18:01:53.000Z,"TGB Chamber
@TGBChamber
·
Jan 11Welcome to the Chamber, Washington Gas! 

The WGL family of companies—Washington Gas, WGL Energy, and Hampshire Gas—are indirect, wholly-owned subsidiaries of AltaGas Ltd. WGL is headquartered in Washington, D.C., and is a leading source for efficient and diverse energy soluti...",,,1
