User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Occupy progressive,@realmedridd,2024-03-30T17:06:27.000Z,"Occupy progressive
@realmedridd
·
17hReplying to 
@WSJ",1,,
International Paper,@IntlPaperCo,2024-03-30T16:49:12.000Z,"International Paper
@IntlPaperCo
·
17hWe celebrate the contributions of the hardworking women at IP during Women's History Month, and all year round. As we look towards the rest of the year, here is a message from, Rae Kestrel, the co-chair of our Women in IP (WIP) group.",,,2
International Paper,@IntlPaperCo,2024-03-29T14:02:00.000Z,"International Paper
@IntlPaperCo
·
Mar 29With 50% women in lead team roles, our Bogalusa Mill demonstrates progress on our Vision 2030 goal of increasing women in manufacturing. Read Bri Butchart's inspiring story, from Mississippi State University to finished product business unit manager: https://internationalpaper.com/resources/articles/girl-power-assembly-line?utm_source=fb&utm_medium=social&utm_campaign=girl_power&utm_id=girl_power…",,1,3
Latest News from Business Wire,@NewsFromBW,2024-03-28T16:40:12.000Z,"Latest News from Business Wire
@NewsFromBW
·
Mar 28Charles Schwab Investment Management, Inc. UK Regulatory Announcement: Form 8.3 - INTERNATIONAL PAPER CO http://dlvr.it/T4ldtf",,,
Jonngan,@jongan69,2024-03-28T13:26:23.000Z,"Jonngan
@jongan69
·
Mar 28$IP: DS Smith Confirms That It Is In Discussions With International Paper Company Regarding A Proposal To Acquire The Co; Says Board Is Progressing Its Discussions With International Paper Regarding Proposal; Proposal To Acquire DS Smith Through A Possible All Share Offer",,,
AlertEdge,@theAlertEdge,2024-03-28T12:05:47.000Z,"AlertEdge
@theAlertEdge
·
Mar 28$IP
INTERNATIONAL PAPER CO
Swing : 0.24%",,,
Latest News from Business Wire,@NewsFromBW,2024-03-28T07:20:42.000Z,"Latest News from Business Wire
@NewsFromBW
·
Mar 28Charles Schwab Investment Management, Inc. UK Regulatory Announcement: Form 8.3 - INTERNATIONAL PAPER CO http://dlvr.it/T4kLcq",,,
AlertEdge,@theAlertEdge,2024-03-26T12:05:58.000Z,"AlertEdge
@theAlertEdge
·
Mar 26$IP
INTERNATIONAL PAPER CO
Swing : -3.74%",,,
International Paper,@IntlPaperCo,2024-03-25T15:36:01.000Z,"International Paper
@IntlPaperCo
·
Mar 25Volunteers from our New Bern Mill were recently featured in the 
@newbernsj
 for donating 500 menstrual health kits containing our absorbent fluff pulp as part of our ongoing support to #EndPeriodPoverty! Thank you for making us all #ProudToBeIP",,1,4
AlertEdge,@theAlertEdge,2024-03-23T12:05:05.000Z,"AlertEdge
@theAlertEdge
·
Mar 23$IP
INTERNATIONAL PAPER CO
Swing : -4.41%",,,
AlertEdge,@theAlertEdge,2024-03-22T12:06:10.000Z,"AlertEdge
@theAlertEdge
·
Mar 22$IP
INTERNATIONAL PAPER CO
Swing : -4.23%",,,
AlertEdge,@theAlertEdge,2024-03-21T12:05:42.000Z,"AlertEdge
@theAlertEdge
·
Mar 21$IP
INTERNATIONAL PAPER CO
Swing : -3.39%",,,
AlertEdge,@theAlertEdge,2024-03-20T12:05:26.000Z,"AlertEdge
@theAlertEdge
·
Mar 20$IP
INTERNATIONAL PAPER CO
Swing : -3.4%",,,
The Market Union,@themarketuni,2024-03-19T17:05:55.000Z,"The Market Union
@themarketuni
·
Mar 19Gainers
The top-gaining stocks or funds:

 $CRNX Crinetics Pharmaceuticals Inc 
 $ALPN Alpine Immune Sciences Inc 
 $JWN Nordstrom Inc 
 $IP International Paper Co 
 $TME Tencent Music Entertainment Group - ADR
 $CNM Core & Main Inc 
 $CAR Avis Budget Group Inc 
Show more",5,,
"Music Licensing, Inc. (OTC: SONG)",@OTC_SONG,2024-03-19T13:35:36.000Z,"Music Licensing, Inc. (OTC: SONG)
@OTC_SONG
·
Mar 19
Automated$TSLA  $SPY $SONG  International Paper Co Welcomes New CEO, Mr. Silvernail https://blog.tipranks.com/international-paper-co-welcomes-new-ceo-mr-silvernail/?utm_source=dlvr.it&utm_medium=twitter… $QQQ $AAPL $BTC",,,
Item502,@Item502,2024-03-19T13:27:47.000Z,"Item502
@Item502
·
Mar 19
AutomatedINTERNATIONAL PAPER CO /NEW/ (0000051434) (Filer) (cik: 0000051434) filed an 8-K update with an Item 5.02",1,,
"Music Licensing, Inc. (OTC: SONG)",@OTC_SONG,2024-03-19T13:27:16.000Z,"Music Licensing, Inc. (OTC: SONG)
@OTC_SONG
·
Mar 19
Automated$TSLA  $SPY $SONG  INTERNATIONAL PAPER CO /NEW/ (0000051434) (Filer): 8-K https://sec.gov/Archives/edgar/data/51434/000119312524070875/0001193125-24-070875-index.htm?utm_source=dlvr.it&utm_medium=twitter… $QQQ $AAPL $BTC",,,
