User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Jake P. Noch,@Jake_P_Noch,2024-03-27T19:16:33.000Z,"Jake P. Noch
@Jake_P_Noch
·
Mar 27
Automated$SPY $SONG $QQQ WEYERHAEUSER CO (0000106535) (Filer): DEF 14A https://sec.gov/Archives/edgar/data/106535/000114036124015567/0001140361-24-015567-index.htm?utm_source=dlvr.it&utm_medium=twitter… $BTC",,1,
Aldo Lema - Uruguay,@AldoLema_uy,2024-03-15T10:35:00.000Z,"Aldo Lema - Uruguay
@AldoLema_uy
·
Mar 15Muy recomendable entrevista de 
@LuisCus
 en #ElEmpresario de 
@ElPaisUY
 al ingeniero Álvaro Molinari, Director Ejecutivo de Lumin (ex Weyerhaeuser), sobre el desarrollo industrial en el sector forestal uruguayo y la exportación de bonos de carbono.
https://elpais.com.uy/el-empresario/lumin-la-empresa-forestal-que-invertira-us-136-millones-en-una-moderna-planta-en-cerro-largo…",,,2
tikerly,@TikerlyCharts,2024-03-16T06:42:55.000Z,"tikerly
@TikerlyCharts
·
Mar 16Negative MACD Movement

$WY    Weyerhaeuser... [Mar 15- Stage 2] https://tikerly.com/charts?t=WY
$DTE   DTE Energy Co. [Mar 15- Stage 2] https://tikerly.com/charts?t=DTE
$MDT   Medtronic Plc [Mar 15- Stage 2] https://tikerly.com/charts?t=MDT

#stageanalysis",,,
Terry Mcgee,@mcgeet131,2024-03-25T01:36:53.000Z,"Terry Mcgee
@mcgeet131
·
Mar 25Replying to 
@brigrey1005",,,
sQuidvicious,@sQuidVicious_1,2024-03-11T04:36:29.000Z,"sQuidvicious
@sQuidVicious_1
·
Mar 11Replying to 
@BlastingRinos
 @simpletruthND
 and 3 others",3,,2
セルディト,@stockinfo2110,2024-02-29T15:00:01.000Z,"セルディト
@stockinfo2110
·
Feb 29本日の暴騰銘柄(00:00時点)

株価値上がりランキング
1.Axon Enterprise Inc.
2.Constellation Energy Corp.
3.eBay Inc.
4.Weyerhaeuser Co.

株価値下がりランキング
1.Viatris Inc.
2.ResMed Inc.
3.Match Group Inc.
4.Align Technology Inc.
Show more",,,
Gary Lamphier,@lamphieryeg,2024-02-21T22:29:23.000Z,"Gary Lamphier
@lamphieryeg
·
Feb 21That's because Seattle has a real economy. For all of its faults, like most US cities, Seattle is home to large, successful co's -- like Microsoft, Costco, Starbucks, Weyerhaeuser, Nordstrom, and Amazon, to name a few. Canada has no such world scale players.",8,12,34
Market Wire News,@marketwirenews,2024-02-17T12:00:10.000Z,"Market Wire News
@marketwirenews
·
Feb 17Breaking News: $WY Beyond The Earnings: What The Latest Financial Report Reveals About Weyerhaeuser Co. (WY) Future https://marketwirenews.com/news-releases/beyond-the-earnings-what-the-latest-financial-report-7385653565643592.html?t=543646…
    
  $TRUP $FMCCM $YANG",,,1
Patent Bot,@PatentArtBot,2024-02-06T06:15:30.000Z,"Patent Bot
@PatentArtBot
·
Feb 6
AutomatedPulp flaker
Owned By: Weyerhaeuser Co
Patent Number: US7291244B2
https://patents.google.com/patent/US7291244B2/en?oq=7291244…",1,,
Mario Mendez Martin,@Mario30994,2024-01-31T02:00:15.000Z,"Mario Mendez Martin
@Mario30994
·
Jan 31Replying to 
@AnalisisdeInver",1,,
