User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount,sentiment,sentiment_base
Susan Brunner,spbrunner,2024-03-27 20:52:59+00:00,mar 27altagas ltd tsx ala otc atgff stock ala ca atgff dividend growth utility,0.0,0.0,2.0,Bearish,positive
"Music Licensing, Inc. (OTC: SONG)",OTC_SONG,2024-03-12 03:39:10+00:00,mar 12 automated tsla spy song altagas ltd issues 600 million in notes and dividend qq aapl btc,0.0,0.0,0.0,Bullish,neutral
Crwe World,CrweWorld,2024-03-12 08:55:07+00:00,mar 12altagas ltd announces aggregate 600 million medium term note offerings ala ca altagas,0.0,0.0,0.0,Bullish,neutral
Dougald Lamont,DougaldLamont,2024-03-21 19:38:05+00:00,mar 21can marty morantz answer how much he might expect to personally benefit from changes to the carbon levy since his conflict of interest disclosure shows he owns stocks in altagas ltd cenovus energy inc chevron corporation conoco phillips and suncor energy show more,29.0,67.0,209.0,Bearish,neutral
NAI500,NAI500,2024-03-07 22:30:13+00:00,mar 7 fortis inc ca altagas ltd ala utilities naturalgas,0.0,0.0,0.0,Bullish,neutral
EnergyNews.biz,EnergyNews_Biz,2024-01-30 01:00:08+00:00,jan 30 follow energynews biz altagas ltd plans to repurpose the closed alcoa smelter in ferndale washington into a greenhydrogen production facility leveraging renewableenergy for electrolysis,0.0,0.0,3.0,Bearish,neutral
EnergyNews.biz,EnergyNews_Biz,2024-01-29 09:01:04+00:00,jan 29 follow energynews biz altagas ltd plans to repurpose the closed alcoa smelter in ferndale washington into a greenhydrogen production facility leveraging renewableenergy for electrolysis,0.0,1.0,1.0,Bullish,neutral
Canadian Riley,TiaRileyCanada,2024-01-14 07:37:48+00:00,jan 14replying to tiarileycanada chimpo j and andrew leach,1.0,0.0,1.0,Bullish,neutral
Tyr MacAirt,Tyr_MacAirt,2024-01-14 05:48:01+00:00,jan 14replying to natluvscamping and kirklubimov,2.0,0.0,1.0,Bearish,neutral
TGB Chamber,TGBChamber,2024-01-11 18:01:53+00:00,jan 11welcome to the chamber washington gas the wgl family of companies washington gas wgl energy and hampshire gas are indirect wholly owned subsidiaries of altagas ltd wgl is headquartered in washington d c and is a leading source for efficient and diverse energy soluti,0.0,0.0,1.0,Bearish,neutral
BOE Report,BOEReport,2024-01-09 13:44:06+00:00,jan 9tidewater midstream and infrastructure ltd monetizes its altagas ltd common shareholdings,0.0,0.0,0.0,Bullish,neutral
Crwe World,CrweWorld,2024-01-09 12:56:28+00:00,jan 9tidewater midstream and infrastructure ltd monetizes its altagas ltd common shareholdings twm ca,0.0,0.0,0.0,Bullish,neutral
UprHand Research,UprHand,2024-01-07 01:14:23+00:00,jan 7biggest insider buyer of the day shark on the move 05 january 2024 big sell alert insider name grant bradley bertram ticker ala ala to dollar amount 702 375 company name altagas ltd insidertrades utilities natgas,0.0,3.0,5.0,Bullish,neutral
Crwe World,CrweWorld,2024-01-04 02:03:01+00:00,jan 4altagas ltd announces 400 million medium term note offering ala ca,0.0,0.0,0.0,Bullish,neutral
BOE Report,BOEReport,2024-01-03 22:48:35+00:00,jan 3altagas ltd announces 400 million medium term note offering,0.0,0.0,0.0,Bullish,neutral
goldsheet,goldsheet,2024-01-03 14:41:10+00:00,jan 3altagas ltd has closed the acquisition of several pipestone natural gas assets in montney and declared a positive final investment decision on the pipestone phase ii expansion project altagas closes pipestone acquisition makes fid on expansion,0.0,0.0,0.0,Bullish,positive
Storage Terminal Magazine,StorageTerminal,2023-11-14 13:25:05+00:00,nov 14 2023altagas ltd and royal vopak have announced the ridley island energy export facility is progressing towards its fid to view article please click here storageterminalsmagazine oil tankterminals storageterminals liquids storageterminalsmag news,0.0,0.0,0.0,Bullish,neutral
goldsheet,goldsheet,2023-11-09 11:02:23+00:00,nov 9 2023altagas ltd reported a net loss before income tax of 36 99 million cad 51 million for the third quarter altagas posts net loss but maintains 2023 guidance,0.0,0.0,0.0,Bullish,negative
Baystreet.ca,baystreet_ca,2023-11-03 16:29:35+00:00,nov 3 2023stocks in play altagas ltd,0.0,0.0,0.0,Bullish,neutral
Warren Matutino | Intelligent Investing,wrmatutino,2023-11-02 02:48:45+00:00,nov 2 2023rbc global energy best ideas list neste oyj suncor energy obsidian energy topaz energy permian resources corp arc resources tourmaline oil canadian natural resources santos ltd slb aker solutions altagas ltd pembina pipeline corp targa resources corp,1.0,0.0,0.0,Bullish,neutral
Canadian Riley,TiaRileyCanada,2023-10-30 20:34:19+00:00,oct 30 2023replying to tiarileycanada and terry truchan,0.0,0.0,0.0,Bullish,neutral
Bullish Trend,trend_bullish,2023-10-17 12:39:21+00:00,oct 17 2023 ala to altagas ltd jpmorgan raises its price target to ca 33 from ca 31 given the company s solid growth and increasing lpg export margins,0.0,0.0,1.0,Bearish,positive
X-Files Market Investigators,market_x_files,2023-10-10 16:15:02+00:00,oct 10 2023altagas ltd atgff has ripped 1 04 5 6 now trading at 19 65,0.0,0.0,0.0,Bullish,neutral
UprHand Research,UprHand,2023-09-19 20:08:29+00:00,sep 19 2023shark on the move 18 sep 23 big sell alert insider name grant bradley bertram ticker ala ala to dollar amount 537 500 company name altagas ltd insidertrades utilities natgas,0.0,0.0,0.0,Bullish,neutral
美股之家,meiguzhijia,2023-08-31 17:37:59+00:00,aug 31 2023tidewater midstream and infrastructure tsx twm ca 6 5 pipestone pipestone dimsdale altagas ltd,0.0,0.0,0.0,Bullish,neutral
CTV News Calgary,CTVCalgary,2023-08-31 13:30:31+00:00,aug 31 2023tidewater midstream and infrastructure ltd has signed a deal to sell its pipestone natural gas plant and expansion project as well as its dimsdale natural gas storage facility to altagas ltd for 650 million in cash and shares,0.0,0.0,3.0,Bullish,positive
SIACharts,siacharts,2023-08-18 16:36:47+00:00,aug 18 2023 altagas ltd has moved up in the sia tsx composite index report on the edge of the neutral zone in the 61st position needing just 4 more spots upwards to move into the favored zone fintwit ala to relativestrength tsx,0.0,0.0,0.0,Bullish,positive
UprHand Research,UprHand,2023-08-03 13:46:18+00:00,aug 3 2023biggest insider seller of the day shark on the move 02 august 2023 big sell alert insider name stein deborah susan ticker ala ala to dollar amount 312 360 company name altagas ltd insidertrades oilandgas utilities,0.0,0.0,0.0,Bearish,neutral
Ticker Report,TickerReport,2023-08-02 06:50:37+00:00,aug 2 2023q3 2023 eps estimates for altagas ltd lowered by analyst ala,0.0,0.0,0.0,Bearish,negative
sandra twang,sandratwang72,2023-07-28 17:41:20+00:00,jul 28 2023mountain valley is owned by units of equitrans nextera energy inc nee n consolidated edison inc ed n altagas ltd and rgc resources inc rgco o,0.0,1.0,0.0,Bearish,neutral
Baystreet.ca,baystreet_ca,2023-07-28 13:45:18+00:00,jul 28 2023stocks in play altagas ltd,0.0,0.0,0.0,Bullish,neutral
Tom - Be Good People,fuzzygreysocks,2023-05-29 22:39:29+00:00,may 30 2023replying to fuzzygreysocks,1.0,1.0,0.0,Bullish,neutral
NoSiLLa,allisonRkorman,2023-05-29 10:41:38+00:00,may 29 2023 equitrans owns about 48 1 of a company called mountain valley mountain valley is owned by units of equitrans nextera energy inc consolidated edison inc altagas ltd rgc resources inc in other words mountain valley pipeline stock market fukkery,1.0,0.0,0.0,Bearish,neutral
Canada Propane,CanadaPropane,2023-05-25 19:55:52+00:00,may 25 2023asia is an important market for cdn propane propane exports to non us destinations have expanded thanks to altagasltd and pembinapipeline bc export terminals propane is a viable cost effective step to cleaner air jagrupbrar1 sustainableenergy,0.0,0.0,1.0,Bullish,positive
volume ticker,volumeticker,2023-05-22 16:36:13+00:00,may 22 2023altagas ltd traded 238 above average volume atgff down 5 42,0.0,0.0,0.0,Bullish,negative
Ion Vaciu,ionvaciu,2023-05-22 13:13:06+00:00,may 22 2023oil gas journal s weekly digital edition is now available this week s highlights include oneok to acquire magellan midstream partners us industry scoreboard equinor discovers hydrocarbons south of kristin altagas ltd,0.0,0.0,0.0,Bullish,neutral
BOE Report,BOEReport,2023-05-15 22:24:06+00:00,may 16 2023altagas ltd closes aggregate 400 million medium term note offering,0.0,0.0,0.0,Bullish,neutral
LP Gas Magazine,LPGas_Mag,2023-05-12 19:00:23+00:00,may 12 2023altagas and royal vopak are working to bolster canada s lpg export capability here s how photo altagas ltd,0.0,0.0,0.0,Bullish,positive
BOE Report,BOEReport,2023-05-12 03:30:02+00:00,may 12 2023altagas ltd announces aggregate 400 million medium term note offering,0.0,0.0,1.0,Bullish,neutral
Johnston Centre @ Rotman School of Mgt,Johnston Centre  Rotman School of Mgt,2023-05-08 15:10:18+00:00,may 8 2023canada s energy firm enbridge inc has named patrick murray as its new chief financial officer effective july 1 murray will replace vern yu who is leaving the firm to become president and ceo of canada s utilities firm altagas ltd corpgov via yahoo,0.0,0.0,0.0,Bearish,neutral
OGN - Media for the Energy Future,OGN_Online,2023-05-03 06:11:00+00:00,may 3 2023vopak altagas ltd to build large scale fuels terminal in canada the 50 50 joint venture will have the capability to facilitate the export of lpgs methanol and other bulk liquids that are vital for everyday life read more on ognews altagas,0.0,0.0,0.0,Bullish,positive
Parlons sciences,ParlonsSciences,2023-04-25 21:09:00+00:00,apr 25 2023nous sommes heureux de compter d sormais altagas ltd parmi nos donateurs son soutien servira appuyer nos enseignant e s visionnaires merci pour votre confiance envers parlons sciences,0.0,0.0,1.0,Bearish,neutral
Let's Talk Science,LetsTalkScience,2023-04-25 21:00:10+00:00,apr 25 2023we are thrilled to welcome altagas ltd as a new supporter they will be supporting teacher leaders in northern bc as part of the professional learning for educators program thank you for your trust in let s talk science as we make a difference and develop youth in canada,0.0,0.0,4.0,Bearish,positive
Susan Brunner,spbrunner,2023-03-29 21:44:29+00:00,mar 29 2023altagas ltd tsx ala otc atgff stock ala ca atgff dividend growth utility,0.0,0.0,2.0,Bearish,positive
