User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount,sentiment,sentiment_base
TimBukOne,TimBukOne,2024-03-30 06:04:12+00:00,mar 30 jse trading stats 28 03 2024 sacorporaterealestate naspers bhpgroup redefineproperties angloamerican anheuserbusch,1.0,0,0,Bullish,neutral
Jesica,mizuhof,2024-03-30 01:42:31+00:00,mar 30replying to mizuhof,1.0,0,1,Bullish,neutral
SteelRadar,steelradar,2024-03-29 11:21:48+00:00,mar 29china s young steel industry complicates net zero target mike henry ceo of bhp group ltd states that china s steel industry is younger compared to europe and therefore follows a different strategy to achieve decarbonization targets this shows that china may be at a show more,0.0,0,0,Bullish,positive
TimBukOne,TimBukOne,2024-03-29 06:01:13+00:00,mar 29 jse trading stats 28 03 2024 sacorporaterealestate naspers bhpgroup redefineproperties angloamerican anheuserbusch,0.0,0,0,Bearish,neutral
Kaiser Wilhelm I. 1871,KWilhelm1871,2024-03-28 21:27:18+00:00,mar 28replying to finanzdani,1.0,0,2,Bullish,neutral
NAI500,NAI500,2024-03-28 18:30:27+00:00,mar 28 2024 bhp group ltd bhp southern copper corp scco zijin mining group zijmy cleanenergy gold copper,0.0,0,0,Bullish,neutral
TimBukOne,TimBukOne,2024-03-28 06:03:14+00:00,mar 28 jse trading stats 26 03 2024 firstrand naspers bhpgroup sibanyestillwater anheuserbusch,1.0,0,0,Bullish,neutral
Leyla Turut,leylasborsa1,2024-03-28 02:22:32+00:00,mar 28replying to leylasborsa1,1.0,0,9,Bullish,neutral
CommSec,CommSec,2024-03-28 01:25:35+00:00,mar 28in sydney mining stocks gained as much 2 1 hitting their highest level since march 5 heavyweights rio tinto rio fortescue fmg and bhp group bhp climbed between 1 5 and 1 8,0.0,2,2,Bullish,positive
CommSec,CommSec,2024-03-27 20:21:55+00:00,mar 27on thursday several asx 200 listed companies pay their latest dividends to investors including bhp group bhp commonwealth bank of australia cba and telstra group tls,0.0,1,5,Bullish,neutral
TimBukOne,TimBukOne,2024-03-27 06:01:15+00:00,mar 27 jse trading stats 26 03 2024 firstrand naspers bhpgroup sibanyestillwater anheuserbusch,0.0,1,0,Bullish,neutral
CommSec,CommSec,2024-03-27 00:11:01+00:00,mar 27australian mining stocks slide as much as 0 9 to their lowest level since march 19 on soft iron ore prices shares of top miners bhp group bhp and rio tinto rio fall as much as 1 2 and 2 2 respectively,1.0,1,1,Bullish,negative
TimBukOne,TimBukOne,2024-03-26 06:04:13+00:00,mar 26 jse trading stats 25 03 2024 firstrand naspers bhpgroup redefineproperties anheuserbusch,0.0,1,0,Bullish,neutral
John,PlasteredJohn,2024-03-25 22:14:53+00:00,mar 25rising copper prices portfolio review make underperforming anglo american stock a potential bargain report glencore otc glncy bhp group nyse bhp,0.0,0,0,Bullish,negative
