User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount,sentiment,sentiment_base
FMC Corporation,FMCCorp,2024-03-28 13:49:42+00:00,22hjoin us in commemorating women s history month at fmc our employees worldwide participated in the selfie campaign to showcase solidarity and inspireinclusion together we honor the exceptional achievements and impact of women globally womenshistorymonth fmc dei,0.0,1.0,2,Bearish,positive
CropLifeIndia,CropLifeIndia,2024-03-28 13:01:06+00:00,23hreplying to croplifeindia,0.0,0.0,0,Bullish,neutral
A_Capital,A_Cap1tal,2024-03-27 14:25:00+00:00,mar 27here are the s p 500 stocks that performed the worst in 2023 1 enphase enph experienced a decline of 50 1 2 fmc corp fmc dropped by 49 5 3 dollar general dg saw a decrease of 44 8 4 moderna mrna fell by 44 6 5 pfizer pfe experienced a decline of 43 8,2.0,0.0,0,Bearish,negative
Public Schools of SK,PublicSchoolsSK,2024-03-27 14:17:39+00:00,mar 27we add our thanks to fmccorp nodge manufacturing for supporting public schools,0.0,0.0,0,Bullish,positive
FMC Corporation,FMCCorp,2024-03-27 13:13:37+00:00,mar 27fmc announces the retirements of both dave kotch vice president and chief information officer and shawn whitman vice president government affairs congratulations to dave and shawn on their amazing careers with fmc read more,0.0,1.0,5,Bearish,neutral
CropLifeIndia,CropLifeIndia,2024-03-27 08:51:17+00:00,mar 27replying to croplifeindia,0.0,0.0,0,Bullish,neutral
Aiolux,aiolux,2024-03-27 03:30:08+00:00,mar 27atypical bullish seasonality pattern for fmc fmc corp shows that prior april performance historical calendar month has a median of 3 8 and is up 84 of the time sp500 materials agribusiness,0.0,0.0,0,Bearish,positive
Chinook School Division,ChinookSD,2024-03-26 20:00:34+00:00,mar 26thank you to fmccorp nodge manufacturing green sponsors for the chinook board of education agriculture contest we appreciate your support there will be some great prizes for the winning entries thanks to our many local sponsors contest details,0.0,1.0,1,Bearish,positive
CropLifeIndia,CropLifeIndia,2024-03-26 09:22:20+00:00,mar 26replying to croplifeindia,0.0,0.0,0,Bullish,neutral
FMC Corporation,FMCCorp,2024-03-25 13:32:06+00:00,mar 25fmc professional solutions was the premiere sponsor of legislative day and has worked closely with the nationalpestmgt since its founding in 1988 read more,0.0,1.0,4,Bullish,neutral
PMP Magazine,PMP_magazine,2024-03-25 16:00:53+00:00,mar 25eric ham of fmccorp shares some tips pmps can follow to increase success with cockroach control,0.0,0.0,1,Bullish,positive
CropLifeIndia,CropLifeIndia,2024-03-24 20:39:53+00:00,mar 24replying to croplifeindia,0.0,0.0,0,Bullish,neutral
Aapresid MDQ-JM Fangio,AapreMDQFangio,2024-03-23 23:19:27+00:00,mar 24replying to aapremdqfangio,0.0,0.0,1,Bullish,neutral
CropLifeIndia,CropLifeIndia,2024-03-23 06:21:31+00:00,mar 23replying to croplifeindia,0.0,0.0,0,Bullish,neutral
FMC Corporation,FMCCorp,2024-03-22 15:10:38+00:00,mar 22fmc is a proud member of a4ws working with others to encourage waterstewardship actions around the world on worldwaterday we re reflecting on our progress and reinforcing our commitment to continue addressing shared water challenges learn more,0.0,1.0,5,Bearish,positive
CropLifeIndia,CropLifeIndia,2024-03-22 13:12:55+00:00,mar 22replying to croplifeindia,0.0,0.0,0,Bullish,neutral
Athletic Turf,Athletic_Turf,2024-03-21 21:00:04+00:00,mar 21 fmccorp elected darren dillenbeck as the vice president and president of fmc north america and renato guimar es as vice president and president of fmc latin america read more,0.0,0.0,0,Bullish,neutral
FMC Corporation,FMCCorp,2024-03-21 15:31:56+00:00,mar 21fmc is thrilled to collaborate with cropvue to advance precisionagriculture through this collaboration we can provide growers with access to more frequent reliable insights read more,0.0,2.0,3,Bullish,positive
CropLifeIndia,CropLifeIndia,2024-03-21 13:15:44+00:00,mar 21replying to croplifeindia,0.0,0.0,0,Bullish,neutral
Agriculture Post,AgriculturePost,2024-03-21 10:01:13+00:00,mar 21fmc india launches arc farm intelligence to help farmers optimise yield and improve sustainability click 2 read farmintelligence smartfarming precisionagriculture cropcare agriculture cropprotection technology fmccorp fmcapac rajukap show more,0.0,2.0,1,Bullish,neutral
Golfdom,Golfdom,2024-03-21 00:43:03+00:00,mar 21 fmccorp elected darren dillenbeck as the vice president and president of fmc north america and renato guimar es as vice president and president of fmc latin america learn more,0.0,0.0,0,Bullish,neutral
mundo agro cba,mundoagrocba,2024-03-20 21:12:58+00:00,mar 20sanidad de los cultivos calidad de aplicaci n chicharrita jornada club de expertos de fmc a trav s de youtube fmccorp tino derossi jfkloppenburg establecimiento don julio estaci n ju rez c lman jueves 21 marzo,0.0,1.0,1,Bullish,neutral
World Agri-Tech,WorldAgriTech,2024-03-20 20:23:53+00:00,mar 20start ups corporates and investors play a pivotal role in driving innovation towards climate adaptation and sustainability goals even amidst the current adversity what progress are companies making fmccorp biotalys novonesis discuss at worldagritech,0.0,0.0,7,Bearish,neutral
FMC Corporation,FMCCorp,2024-03-20 17:28:08+00:00,mar 20fmc is pleased to announce executive leaders for north america and latin america darren dillenbeck has been elected as vice president president of fmc north america and renato guimar es will join fmc as vice president president of fmc latin america,0.0,1.0,8,Bullish,neutral
Steve_382,Steve_382,2024-03-20 17:22:23+00:00,mar 20replying to steve 382 and optionshawk,1.0,0.0,0,Bullish,neutral
Mercados,RevistaMercados,2024-03-20 12:18:24+00:00,mar 20los m s de 170 profesionales asistentes a la presentaci n pudieron conocer la tecnolog a de vanguardia que incorpora cyazypyr mol cula que ha demostrado un amplio espectro de control sobre diversas plagas fmccorp,0.0,0.0,1,Bullish,positive
tikerly,TikerlyCharts,2024-03-20 04:50:29+00:00,mar 20significant price fall fmc fmc corp mar 19 stage 4 stageanalysis,0.0,0.0,0,Bullish,neutral
PMP Magazine,PMP_magazine,2024-03-19 17:00:03+00:00,mar 19product of the day fmccorp talstar professional sponsored,0.0,0.0,1,Bullish,neutral
FMC Corporation,FMCCorp,2024-03-19 15:18:32+00:00,mar 19happy national ag day today we celebrate the innovation and dedication of farmers everywhere from the food on our tables to the clothes on our backs farmers are at the heart of it all we celebrate their dedication hard work and commitment to growaclimatefortomorrow,1.0,1.0,7,Bullish,neutral
CropLifeIndia,CropLifeIndia,2024-03-19 11:42:48+00:00,mar 19replying to croplifeindia,0.0,0.0,0,Bullish,neutral
Patent Bot,PatentArtBot,2024-03-18 15:12:02+00:00,mar 18 automatedfluid power transfer device owned by fmc corp patent number us4593605,1.0,0.0,1,Bullish,neutral
FMC Corporation,FMCCorp,2024-03-18 14:18:32+00:00,mar 18fmc recently attended the asa soybeans conservation legacy award during commodity classic the conservation legacy award is a national program designed to recognize the outstanding environmental achievements of soybean farmers which help produce more sustainable u s soybeans,0.0,2.0,6,Bearish,positive
Pioneer Seeds - Australia,pioneerseedsau,2024-03-18 07:01:04+00:00,mar 18pioneer seeds hosted a group from fmccorp and pgg wrightson at the pioneer research station at wyreema qld to discuss this season s significant impact of fall armyworm and the development of pest management tactics which continues to be at the forefront of the industry s mind,0.0,0.0,3,Bullish,neutral
Jonngan,jongan69,2024-03-16 13:19:23+00:00,mar 16 fmc fmc corp expands biologicals crop protection platform in canada,0.0,0.0,0,Bullish,positive
CropLifeIndia,CropLifeIndia,2024-03-15 08:59:49+00:00,mar 15replying to croplifeindia,0.0,0.0,1,Bullish,neutral
Sepehr Achard,SepehrAchard,2024-03-16 14:30:05+00:00,mar 16replying to sepehrachard producepay en and 5 others,0.0,0.0,0,Bullish,neutral
CropLifeIndia,CropLifeIndia,2024-03-15 05:36:20+00:00,mar 15federation of seed industry of india conference on dsr for sustainable profitable rice production fsii india croplifeintl croplifeasia basfagro adamaagri bayer4crops corteva fmccorp piindltd indofilofficial syngentaind crystalcrop1 dhanuka agri kjkrishimedia,0.0,1.0,2,Bullish,neutral
CropLifeIndia,CropLifeIndia,2024-03-15 05:14:34+00:00,mar 15ongoing federation of seed industry of india conference on dsr for sustainable profitable rice production seedindustry agriculture sustainability riceproduction croplife conference kjkrishimedia basfagro corteva piindltd fmccorp indofilofficial dhanuka agri,0.0,0.0,1,Bullish,neutral
Landscape Management,LandscapeMgmt,2024-03-14 22:30:03+00:00,mar 14 fmccorp will host a webinar focused on its latest turf insecticide participants can register online for the discover durentis webinar cool season turf which will take place tomorrow march 15 at 10 30 a m edt learn more here graphic lm staff,0.0,0.0,1,Bullish,neutral
FMC Corporation,FMCCorp,2024-03-14 14:37:50+00:00,mar 14fmc s commercial team participated in the pajonalesfarmshow the largest open field show in colombia we engaged with growers and channel partners over the two day event emphasizing the significance of data driven insights and the capabilities of arc farm intelligence,1.0,1.0,4,Bearish,positive
Neepawa Titans,MJHLTitans,2024-03-14 13:30:38+00:00,mar 14here is another great item for the neepawa ag expo online auction from fmccorp 1 case 80 ac of travallas herbicide neepawaagexpo2024 lows9 tibbcam,0.0,1.0,2,Bullish,neutral
Mercados,RevistaMercados,2024-03-14 12:55:12+00:00,mar 14replying to revistamercados and fmccorp,0.0,0.0,0,Bullish,neutral
Mercados,RevistaMercados,2024-03-14 12:46:57+00:00,mar 14replying to revistamercados,1.0,0.0,0,Bearish,neutral
CropLifeIndia,CropLifeIndia,2024-03-14 07:22:01+00:00,mar 14replying to croplifeindia,0.0,0.0,0,Bullish,neutral
Indian Chemical News,chemical_news,2024-03-14 06:58:52+00:00,mar 14fmc to distribute novonesis biosolution products in canada fmccorporation drb n dicteflambard fmccorp,0.0,0.0,1,Bullish,neutral
AlertEdge,theAlertEdge,2024-03-13 16:05:11+00:00,mar 13fmc corp fmc swing 2 3,0.0,0.0,0,Bullish,neutral
FMC Corporation,FMCCorp,2024-03-13 13:31:27+00:00,mar 13fmc recently sponsored the millionwmentors mwm stem careerday for students at the conrad school of science the mwm is an initiative to spark interest and confidence in women and girls to pursue stem careers and leadership opportunities through the power of mentoring,0.0,1.0,3,Bearish,positive
FMC Corporation,FMCCorp,2024-03-12 13:31:51+00:00,mar 12fmc canada novonesis have announced a commercial agreement to bring innovative biological solutions to canadian farmers beginning june 1 2024 fmc canada will be the exclusive distributor of novonesis leading biosolution products read more,0.0,2.0,7,Bearish,positive
CropLifeIndia,CropLifeIndia,2024-03-12 09:05:45+00:00,mar 12replying to croplifeindia,0.0,0.0,0,Bullish,neutral
Heritage Cooperative,HeritageCoop,2024-03-11 15:11:21+00:00,mar 11replying to heritagecoop and fmccorp,0.0,0.0,0,Bullish,neutral
Heritage Cooperative,HeritageCoop,2024-03-11 15:10:19+00:00,mar 11prep for plant24 extends beyond seeds soil at plant planning like implementing xyway lfr fungicide ensures season long success join our chat with fmccorp as we lay out tips tricks to maximize the benefits of xyway from the inside out,1.0,0.0,3,Bearish,neutral
