User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount,sentiment,sentiment_base
Occupy progressive,realmedridd,2024-03-30 17:06:27+00:00,17hreplying to wsj,1.0,0.0,0.0,Bullish,neutral
International Paper,IntlPaperCo,2024-03-30 16:49:12+00:00,17hwe celebrate the contributions of the hardworking women at ip during women s history month and all year round as we look towards the rest of the year here is a message from rae kestrel the co chair of our women in ip wip group,0.0,0.0,2.0,Bullish,neutral
International Paper,IntlPaperCo,2024-03-29 14:02:00+00:00,mar 29with 50 women in lead team roles our bogalusa mill demonstrates progress on our vision 2030 goal of increasing women in manufacturing read bri butchart s inspiring story from mississippi state university to finished product business unit manager,0.0,1.0,3.0,Bearish,positive
Latest News from Business Wire,NewsFromBW,2024-03-28 16:40:12+00:00,mar 28charles schwab investment management inc uk regulatory announcement form 8 3 international paper co,0.0,0.0,0.0,Bullish,neutral
Jonngan,jongan69,2024-03-28 13:26:23+00:00,mar 28 ip ds smith confirms that it is in discussions with international paper company regarding a proposal to acquire the co says board is progressing its discussions with international paper regarding proposal proposal to acquire ds smith through a possible all share offer,0.0,0.0,0.0,Bullish,neutral
AlertEdge,theAlertEdge,2024-03-28 12:05:47+00:00,mar 28 ip international paper co swing 0 24,0.0,0.0,0.0,Bullish,neutral
AlertEdge,theAlertEdge,2024-03-26 12:05:58+00:00,mar 26 ip international paper co swing 3 74,0.0,0.0,0.0,Bullish,neutral
International Paper,IntlPaperCo,2024-03-25 15:36:01+00:00,mar 25volunteers from our new bern mill were recently featured in the newbernsj for donating 500 menstrual health kits containing our absorbent fluff pulp as part of our ongoing support to endperiodpoverty thank you for making us all proudtobeip,0.0,1.0,4.0,Bullish,positive
AlertEdge,theAlertEdge,2024-03-23 12:05:05+00:00,mar 23 ip international paper co swing 4 41,0.0,0.0,0.0,Bullish,neutral
AlertEdge,theAlertEdge,2024-03-22 12:06:10+00:00,mar 22 ip international paper co swing 4 23,0.0,0.0,0.0,Bullish,neutral
AlertEdge,theAlertEdge,2024-03-21 12:05:42+00:00,mar 21 ip international paper co swing 3 39,0.0,0.0,0.0,Bullish,neutral
AlertEdge,theAlertEdge,2024-03-20 12:05:26+00:00,mar 20 ip international paper co swing 3 4,0.0,0.0,0.0,Bullish,neutral
The Market Union,themarketuni,2024-03-19 17:05:55+00:00,mar 19gainers the top gaining stocks or funds crnx crinetics pharmaceuticals inc alpn alpine immune sciences inc jwn nordstrom inc ip international paper co tme tencent music entertainment group adr cnm core main inc car avis budget group inc show more,5.0,0.0,0.0,Bearish,neutral
"Music Licensing, Inc. (OTC: SONG)",OTC_SONG,2024-03-19 13:35:36+00:00,mar 19 automated tsla spy song international paper co welcomes new ceo mr silvernail qq aapl btc,0.0,0.0,0.0,Bearish,neutral
Item502,Item502,2024-03-19 13:27:47+00:00,mar 19 automatedinternational paper co new 0051434 filer cik 0051434 filed an 8 k update with an item 5 02,1.0,0.0,0.0,Bullish,neutral
"Music Licensing, Inc. (OTC: SONG)",OTC_SONG,2024-03-19 13:27:16+00:00,mar 19 automated tsla spy song international paper co new 0051434 filer 8 k qq aapl btc,0.0,0.0,0.0,Bearish,neutral
Victor Mah,VictorMahNHI,2024-03-07 02:09:33+00:00,mar 7watch the former otis mill tower collapse in jay spiritual faith video the tower that had international paper co 1906 on the roof has stood for more than 100 years at the now defunct otis mill in,0.0,0.0,0.0,Bullish,neutral
AlertEdge,theAlertEdge,2024-03-06 13:10:15+00:00,mar 6bullish trend detected for international paper co ip potential swing 0 77,0.0,0.0,0.0,Bullish,positive
AlertEdge,theAlertEdge,2024-02-21 13:16:12+00:00,feb 21bullish trend detected for international paper co ip,0.0,0.0,0.0,Bullish,negative
Análisis Banorte,Analisis_Fundam,2024-02-01 12:34:03+00:00,feb 1replying to analisis fundam,0.0,0.0,0.0,Bullish,neutral
akshay dharma,dharma_akshay,2024-01-29 11:09:16+00:00,jan 29unfolding prosperity the printed cartons market set to surpass 499 7 billion by 2027 read more top key players nippon paper industries co ltd international paper smurfit kappa group show more,0.0,0.0,0.0,Bearish,positive
Stock Market News,Stock_Market_Pr,2024-01-12 00:09:14+00:00,jan 12international paper co stock rises thursday outperforms market marketwatch,0.0,0.0,0.0,Bullish,positive
Venkat shukla,Venkatshukla1,2024-01-07 18:52:19+00:00,jan 7replying to dmuthuk,0.0,0.0,3.0,Bullish,neutral
Recycling Today,RecyclingToday,2024-01-01 11:00:17+00:00,jan 1primestone capital urges the smurfit kappa board of directors to consider strategic alternatives to the pending merger with westrock co including a deal with international paper recycling paper paperrecycling,0.0,0.0,0.0,Bullish,positive
Gospel Swamp Joe,CroMagn32399091,2023-12-26 21:32:45+00:00,dec 26 2023replying to angrymarktrail,1.0,0.0,1.0,Bullish,neutral
Natchitoches Weather,Natchitoche_WX,2023-12-10 00:22:25+00:00,dec 10 2023pea size hail just north of campti louisiana at or near international paper co mill natchitoches parish la hail storm nwsshreveport lawx,0.0,0.0,0.0,Bullish,neutral
Vol Mom,Morgan19715808,2023-11-20 13:39:42+00:00,nov 20 2023replying to mighty990kwam,0.0,0.0,1.0,Bullish,neutral
Paul Crossland,PaulCrossland_,2023-11-15 07:41:03+00:00,nov 15 2023replying to jason,0.0,0.0,2.0,Bullish,neutral
