User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount,sentiment,sentiment_base
Jake P. Noch,Jake_P_Noch,2024-03-27 19:16:33+00:00,mar 27 automated spy song qq weyerhaeuser co 00106535 filer def 14a btc,0.0,1.0,0.0,Bullish,neutral
Aldo Lema - Uruguay,AldoLema_uy,2024-03-15 10:35:00+00:00,mar 15muy recomendable entrevista de luiscus en elempresario de elpaisuy al ingeniero lvaro molinari director ejecutivo de lumin ex weyerhaeuser sobre el desarrollo industrial en el sector forestal uruguayo y la exportaci n de bonos de carbono,0.0,0.0,2.0,Bullish,positive
tikerly,TikerlyCharts,2024-03-16 06:42:55+00:00,mar 16negative macd movement wy weyerhaeuser mar 15 stage 2 dte dte energy co mar 15 stage 2 mdt medtronic plc mar 15 stage 2 stageanalysis,0.0,0.0,0.0,Bullish,neutral
Terry Mcgee,mcgeet131,2024-03-25 01:36:53+00:00,mar 25replying to brigrey1005,0.0,0.0,0.0,Bullish,neutral
sQuidvicious,sQuidVicious_1,2024-03-11 04:36:29+00:00,mar 11replying to blastingrinos simpletruthnd and 3 others,3.0,0.0,2.0,Bullish,neutral
セルディト,stockinfo2110,2024-02-29 15:00:01+00:00,feb 29 00 00 1 axon enterprise inc 2 constellation energy corp 3 ebay inc 4 weyerhaeuser co 1 viatris inc 2 resmed inc 3 match group inc 4 align technology inc show more,0.0,0.0,0.0,Bearish,neutral
Gary Lamphier,lamphieryeg,2024-02-21 22:29:23+00:00,feb 21that s because seattle has a real economy for all of its faults like most us cities seattle is home to large successful co s like microsoft costco starbucks weyerhaeuser nordstrom and amazon to name a few canada has no such world scale players,8.0,12.0,34.0,Bearish,neutral
Market Wire News,marketwirenews,2024-02-17 12:00:10+00:00,feb 17breaking news wy beyond the earnings what the latest financial report reveals about weyerhaeuser co wy future trup fmccm yang,0.0,0.0,1.0,Bullish,neutral
Patent Bot,PatentArtBot,2024-02-06 06:15:30+00:00,feb 6 automatedpulp flaker owned by weyerhaeuser co patent number us7291244b2,1.0,0.0,0.0,Bullish,neutral
Mario Mendez Martin,Mario30994,2024-01-31 02:00:15+00:00,jan 31replying to analisisdeinver,1.0,0.0,0.0,Bearish,neutral
Kwhen Finance,kwhenfinance,2023-12-29 22:51:33+00:00,dec 29 2023weyerhaeuser co shares near 52 week high market mover wy stockmarket kwhenfinance,0.0,0.0,0.0,Bullish,neutral
Bluer Popcorn 8,Bluer_Popcorn,2024-01-14 15:14:25+00:00,jan 14replying to blon60065 wendyp4545 and 5 others,0.0,0.0,5.0,Bullish,neutral
Kwhen Finance,kwhenfinance,2023-12-28 22:50:42+00:00,dec 28 2023weyerhaeuser co shares climb 0 5 past previous 52 week high market mover wy stockmarket kwhenfinance,0.0,0.0,0.0,Bullish,positive
