User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
FMC Corporation,@FMCCorp,2024-03-28T13:49:42.000Z,"FMC Corporation
@FMCCorp
·
22hJoin us in commemorating Women's History Month at FMC. Our employees worldwide participated in the selfie campaign to showcase solidarity and #InspireInclusion. Together, we honor the exceptional achievements and impact of women globally. #WomensHistoryMonth #FMC #DEI",,1.0,2
CropLifeIndia,@CropLifeIndia,2024-03-28T13:01:06.000Z,"CropLifeIndia
@CropLifeIndia
·
23hReplying to 
@CropLifeIndia",,,
CropLifeIndia,@CropLifeIndia,2024-03-28T12:35:10.000Z,"CropLifeIndia
@CropLifeIndia
·
23hReplying to 
@CropLifeIndia",,,
A_Capital,@A_Cap1tal,2024-03-27T14:25:00.000Z,"A_Capital
@A_Cap1tal
·
Mar 27Here are the S&P 500 stocks that performed the worst in 2023:

1. Enphase $ENPH experienced a decline of 50.1%.
2. FMC Corp $FMC dropped by 49.5%.
3. Dollar General $DG saw a decrease of 44.8%.
4. Moderna $MRNA fell by 44.6%.
5. Pfizer $PFE experienced a decline of 43.8%.",2.0,,
Public Schools of SK,@PublicSchoolsSK,2024-03-27T14:17:39.000Z,"Public Schools of SK
@PublicSchoolsSK
·
Mar 27We add our thanks to 
@FMCCorp
 & Nodge Manufacturing for supporting public schools.",,,
FMC Corporation,@FMCCorp,2024-03-27T13:13:37.000Z,"FMC Corporation
@FMCCorp
·
Mar 27FMC announces the retirements of both Dave Kotch, vice president and chief information officer and Shawn Whitman, vice president, government affairs. 

Congratulations to Dave and Shawn on their amazing careers with FMC.

Read more:  https://tinyurl.com/4sfffpf2",,1.0,5
CropLifeIndia,@CropLifeIndia,2024-03-27T08:51:17.000Z,"CropLifeIndia
@CropLifeIndia
·
Mar 27Replying to 
@CropLifeIndia",,,
Aiolux,@aiolux,2024-03-27T03:30:08.000Z,"Aiolux
@aiolux
·
Mar 27Atypical #Bullish #Seasonality Pattern for $FMC FMC Corp. shows that prior April performance (historical calendar month) has a median of +3.8% and is up 84% of the time #sp500 #Materials #Agribusiness",,,
Chinook School Division,@ChinookSD,2024-03-26T20:00:34.000Z,"Chinook School Division
@ChinookSD
·
Mar 26Thank you to 
@FMCCorp
 & Nodge Manufacturing, Green Sponsors for the Chinook Board of Education Agriculture Contest. We appreciate your support! There will be some great prizes for the winning entries, thanks to our many local sponsors! 

Contest details: https://chinooksd.ca/Pages/newsitem.aspx?ItemID=452&ListID=71a50195-e7f6-411b-8ec2-eab81a591621&TemplateID=Announcement_Item#/=…",,1.0,1
CropLifeIndia,@CropLifeIndia,2024-03-26T09:22:20.000Z,"CropLifeIndia
@CropLifeIndia
·
Mar 26Replying to 
@CropLifeIndia",,,
