"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"30/12/2024","0,67","0,80","75,82","0,38","0,00K","-48,05%"
"27/12/2024","1,28","0,20","18,69","0,20","0,00K","45,08%"
"23/12/2024","0,88","1,00","4,68","0,14","0,00K","-50,83%"
"20/12/2024","1,80","62,00","63,00","0,25","0,00K","-16,08%"
"19/12/2024","2,14","6,06","10,01","1,01","0,00K","-18,00%"
"18/12/2024","2,62","0,17","47,95","0,17","0,00K","275,32%"
"17/12/2024","0,70","62,40","89,00","0,62","0,00K","112,50%"
"16/12/2024","0,33","0,01","0,36","0,01","0,00K","-71,58%"
"13/12/2024","1,15","0,54","2,71","0,15","0,00K","-67,41%"
"12/12/2024","3,54","0,33","17,99","0,32","0,00K","248,18%"
"11/12/2024","1,02","90,00","90,00","1,02","0,00K","6,05%"
"10/12/2024","0,96","5,00","5,00","0,36","0,00K","-47,13%"
"09/12/2024","1,81","16,20","18,50","0,91","0,00K","-18,47%"
"06/12/2024","2,22","1,00","14,67","0,64","0,00K","330,37%"
"05/12/2024","0,52","13,00","13,00","0,09","0,00K","92,19%"
"04/12/2024","0,27","0,68","0,68","0,17","0,00K","-72,61%"
"03/12/2024","0,98","0,33","9,89","0,09","0,00K","149,24%"
"02/12/2024","0,39","0,02","2,25","0,02","0,00K","-90,28%"
"29/11/2024","4,05","0,01","4,05","0,01","0,00K","305,20%"
"28/11/2024","1,00","0,03","1,00","0,01","0,00K","-70,93%"
"27/11/2024","3,44","8,33","91,67","1,30","0,00K","107,10%"
"26/11/2024","1,66","2,00","2,37","0,18","0,00K","186,87%"
"25/11/2024","0,58","1,00","3,80","0,34","0,00K","-41,40%"
"22/11/2024","0,99","0,02","1,15","0,02","0,00K","19,90%"
"21/11/2024","0,82","0,03","19,41","0,03","0,00K","-72,66%"
"20/11/2024","3,01","1,00","72,92","0,86","0,00K","-49,19%"
"19/11/2024","5,93","33,00","33,00","0,80","0,00K","279,53%"
"18/11/2024","1,56","0,07","2,74","0,05","0,00K","37,35%"
"15/11/2024","1,14","7,00","56,50","0,22","0,00K","-60,80%"
"14/11/2024","2,90","0,02","3,35","0,01","0,00K","-9,76%"
"13/11/2024","3,22","0,71","75,54","0,42","0,00K","124,97%"
"12/11/2024","1,43","0,67","11,23","0,67","0,00K","-26,10%"
"11/11/2024","1,93","0,75","5,75","0,24","0,00K","-2,96%"
"08/11/2024","1,99","2,00","17,56","0,54","0,00K","88,29%"
"07/11/2024","1,06","0,02","2,10","0,02","0,00K","228,88%"
"06/11/2024","0,32","0,50","20,50","0,16","0,00K","-47,73%"
"05/11/2024","0,62","1,67","66,25","0,28","0,00K","-82,05%"
"04/11/2024","3,43","2,00","17,00","0,56","0,00K","334,30%"
"01/11/2024","0,79","0,02","0,79","0,00","0,00K","20,24%"
"31/10/2024","0,66","0,67","79,67","0,66","0,00K","-75,82%"
"30/10/2024","2,72","4,00","75,39","1,82","0,00K","105,06%"
"29/10/2024","1,33","0,06","3,00","0,06","0,00K","42,02%"
"28/10/2024","0,93","0,05","1,04","0,03","0,00K","-42,44%"
