Date,Close,Daily Return,Volatility (%),Put-Call Ratio,PCR Sentiment,Consecutive Signal,Signal Streak,Initial Weight,Adjusted Weight,Normalized Weight,Portfolio Return
2023-01-03,182.04969787597656,0.0,26.62355005645356,0.43,Bullish,1,1,0.2,0.25,0.006075334143377886,0.0
2023-01-04,187.6804962158203,3.093000650668376,26.62355005645356,3.05,Bearish,2,1,0.2,0.15000000000000002,0.0036452004860267322,0.011274607475097363
2023-01-05,183.7271270751953,-2.106435788660155,26.62355005645356,0.77,Neutral,3,1,0.2,0.2,0.004860267314702309,-0.010237841014144131
2023-01-06,188.1023101806641,2.381348456876542,26.62355005645356,0.8,Neutral,3,2,0.2,0.2,0.004860267314702309,0.011573990069873839
2023-01-09,187.21945190429688,-0.4693500444089338,26.62355005645356,1.33,Bearish,4,1,0.2,0.15000000000000002,0.0036452004860267322,-0.001710875009996114
2023-01-10,197.6864471435547,5.590762675989636,26.62355005645356,1.85,Bearish,4,2,0.2,0.1,0.0024301336573511545,0.013586300549185021
2023-01-11,196.8722686767578,-0.4118534571090904,26.62355005645356,1.6,Bearish,4,3,0.2,0.04999999999999999,0.0012150668286755768,-0.0005004294740086152
2023-01-12,196.4210205078125,-0.2292085990466263,26.62355005645356,1.71,Bearish,4,4,0.2,0.04999999999999999,0.0012150668286755768,-0.00027850376554875605
2023-01-13,198.186767578125,0.8989603382303368,26.62355005645356,0.04,Bullish,5,1,0.2,0.25,0.006075334143377886,0.005461484436393298
2023-01-17,196.07765197753903,-1.0642060649959983,26.62355005645356,1.9,Bearish,6,1,0.2,0.15000000000000002,0.0036452004860267322,-0.0038792444653560094
2023-01-18,191.42784118652344,-2.371412929581729,26.62355005645356,3.21,Bearish,6,2,0.2,0.1,0.0024301336573511545,-0.005762850375654263
2023-01-19,195.38116455078125,2.0651767996515025,26.62355005645356,4.04,Bearish,6,3,0.2,0.04999999999999999,0.0012150668286755768,0.0025093278246069283
2023-01-20,201.2081451416016,2.9823655746026745,26.62355005645356,1.66,Bearish,6,4,0.2,0.04999999999999999,0.0012150668286755768,0.0036237734806836863
2023-01-23,202.91506958007807,0.8483376442217638,26.62355005645356,3.07,Bearish,6,5,0.2,0.04999999999999999,0.0012150668286755768,0.0010307869310106485
2023-01-24,200.92369079589844,-0.9813853590572296,26.62355005645356,0.68,Bullish,7,1,0.2,0.25,0.006075334143377886,-0.005962243979691553
2023-01-25,201.1002655029297,0.08788147695864,26.62355005645356,26.04,Bearish,8,1,0.2,0.15000000000000002,0.0036452004860267322,0.0003203456025223816
2023-01-26,201.0217742919922,-0.0390308837938113,26.62355005645356,1.92,Bearish,8,2,0.2,0.1,0.0024301336573511545,-9.485026438350255e-05
2023-01-27,202.1793670654297,0.57585442050474,26.62355005645356,2.93,Bearish,8,3,0.2,0.04999999999999999,0.0012150668286755768,0.0006997016045015065
2023-01-30,199.36392211914065,-1.3925481057510347,26.62355005645356,0.21,Bullish,9,1,0.2,0.25,0.006075334143377886,-0.00846019505316546
2023-01-31,202.5815277099609,1.6139357395353882,26.62355005645356,0.23,Bullish,9,2,0.2,0.30000000000000004,0.0072904009720534645,0.01176623868434062
2023-02-01,210.40972900390625,3.864222657631977,26.62355005645356,0.84,Neutral,10,1,0.2,0.2,0.004860267314702309,0.01878115507962079
2023-02-02,216.65853881835932,2.969829315419692,26.62355005645356,1.81,Bearish,11,1,0.2,0.15000000000000002,0.0036452004860267322,0.0108256232639843
2023-02-03,214.8633728027344,-0.8285692432967173,26.62355005645356,0.91,Neutral,12,1,0.2,0.2,0.004860267314702309,-0.00402706801116266
2023-02-06,210.556869506836,-2.004298471034538,26.62355005645356,0.99,Neutral,12,2,0.2,0.2,0.004860267314702309,-0.009741426347676978
2023-02-07,212.8817901611328,1.1041770614002244,26.62355005645356,1.53,Bearish,13,1,0.2,0.15000000000000002,0.0036452004860267322,0.004024946760875667
2023-02-08,211.743881225586,-0.5345261962921177,26.62355005645356,5.54,Bearish,13,2,0.2,0.1,0.0024301336573511545,-0.0012989701003453652
