Date,Dernier,Ouverture,Haut,Bas,Volume,Variation (%)
06/01/2025,"1,41","2,50","2,50","0,26","0,00K",+252.63%
03/01/2025,"0,40","0,06","1,77","0,06","0,00K",-40.18%
03/01/2025,"0,40","0,06","1,77","0,06","0,00K",-40.18%
30/12/2024,"0,67","0,80","75,82","0,38","0,00K",-48.05%
30/12/2024,"0,67","0,80","75,82","0,38","0,00K",-48.05%
27/12/2024,"1,28","0,20","18,69","0,20","0,00K",+45.08%
27/12/2024,"1,28","0,20","18,69","0,20","0,00K",+45.08%
23/12/2024,"0,88","1,00","4,68","0,14","0,00K",-50.83%
23/12/2024,"0,88","1,00","4,68","0,14","0,00K",-50.83%
20/12/2024,"1,80","62,00","63,00","0,25","0,00K",-16.08%
20/12/2024,"1,80","62,00","63,00","0,25","0,00K",-16.08%
19/12/2024,"2,14","6,06","10,01","1,01","0,00K",-18.00%
19/12/2024,"2,14","6,06","10,01","1,01","0,00K",-18.00%
18/12/2024,"2,62","0,17","47,95","0,17","0,00K",+275.32%
18/12/2024,"2,62","0,17","47,95","0,17","0,00K",+275.32%
17/12/2024,"0,70","62,40","89,00","0,62","0,00K",+112.50%
17/12/2024,"0,70","62,40","89,00","0,62","0,00K",+112.50%
16/12/2024,"0,33","0,01","0,36","0,01","0,00K",-71.58%
16/12/2024,"0,33","0,01","0,36","0,01","0,00K",-71.58%
13/12/2024,"1,15","0,54","2,71","0,15","0,00K",-67.41%
13/12/2024,"1,15","0,54","2,71","0,15","0,00K",-67.41%
12/12/2024,"3,54","0,33","17,99","0,32","0,00K",+248.18%
12/12/2024,"3,54","0,33","17,99","0,32","0,00K",+248.18%
11/12/2024,"1,02","90,00","90,00","1,02","0,00K",+6.05%
11/12/2024,"1,02","90,00","90,00","1,02","0,00K",+6.05%
10/12/2024,"0,96","5,00","5,00","0,36","0,00K",-31.89%
10/12/2024,"0,96","5,00","5,00","0,36","0,00K",-47.13%
09/12/2024,"1,81","16,20","18,50","0,91","0,00K",-18.47%
06/12/2024,"2,22","1,00","14,67","0,64","0,00K",+330.37%
